Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Ike Anigbogu\anigbik01,C,19,IND,11,0,30,4.8,10.8,.444,0.0,0.0,,4.8,10.8,.444,6.0,7.2,.833,6.0,4.8,10.8,0.0,1.2,3.6,2.4,1.2,15.6
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,75,75,2756,9.7,18.3,.529,0.6,1.8,.307,9.1,16.5,.554,6.4,8.4,.760,2.0,7.8,9.8,4.7,1.4,1.4,2.9,3.0,26.3
17,Carmelo Anthony\anthoca01,PF,33,OKC,78,78,2501,6.8,16.8,.404,2.4,6.8,.357,4.4,10.0,.437,2.1,2.8,.767,1.0,5.6,6.5,1.5,0.7,0.7,1.4,2.8,18.2
18,OG Anunoby\anunoog01,SF,20,TOR,74,62,1481,4.0,8.4,.471,1.8,4.8,.371,2.2,3.6,.604,0.9,1.5,.629,1.1,3.4,4.5,1.3,1.3,0.3,1.1,3.2,10.6
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,24,0,304,2.0,4.9,.415,1.1,3.7,.290,0.9,1.2,.800,0.6,0.7,.833,0.1,2.8,3.0,4.1,1.5,0.0,1.5,2.1,5.7
20,Trevor Ariza\arizatr01,SF,32,HOU,67,67,2269,4.3,10.3,.412,2.7,7.3,.368,1.6,3.0,.519,1.2,1.4,.854,0.5,4.1,4.7,1.7,1.6,0.2,0.8,2.1,12.4
21,Darrell Arthur\arthuda01,PF,29,DEN,19,1,141,5.6,12.0,.468,2.0,5.9,.348,3.6,6.1,.583,0.5,0.8,.667,0.8,3.1,3.8,2.3,2.0,0.8,3.8,5.6,13.8
22,Jamel Artis\artisja01,SG,25,ORL,15,1,279,4.0,10.2,.392,1.0,3.7,.276,3.0,6.5,.460,0.9,1.5,.583,0.5,4.4,4.9,2.3,0.3,0.4,1.0,1.4,9.9
23,Omer Asik\asikom01,C,31,TOT,18,0,182,1.8,4.4,.409,0.0,0.0,,1.8,4.4,.409,0.8,2.6,.308,1.8,7.5,9.3,0.6,0.4,0.8,1.8,4.0,4.4
23,Omer Asik\asikom01,C,31,NOP,14,0,121,2.1,4.8,.438,0.0,0.0,,2.1,4.8,.438,1.2,3.6,.333,2.1,8.9,11.0,0.6,0.3,0.6,1.5,4.2,5.4
23,Omer Asik\asikom01,C,31,CHI,4,0,61,1.2,3.5,.333,0.0,0.0,,1.2,3.5,.333,0.0,0.6,.000,1.2,4.7,5.9,0.6,0.6,1.2,2.4,3.5,2.4
24,D.J. Augustin\augusdj01,PG,30,ORL,75,36,1760,5.0,11.0,.452,2.3,5.6,.419,2.7,5.5,.485,3.4,3.9,.868,0.6,2.7,3.3,5.9,1.1,0.0,2.5,1.9,15.7
25,Luke Babbitt\babbilu01,SF,28,TOT,50,14,715,4.6,10.8,.423,3.0,7.9,.385,1.6,3.0,.525,0.9,1.1,.773,0.4,4.5,4.8,1.6,0.4,0.4,1.0,2.7,13.0
25,Luke Babbitt\babbilu01,SF,28,ATL,37,9,570,5.1,10.6,.476,3.1,7.0,.441,2.0,3.6,.544,1.1,1.4,.773,0.3,4.8,5.1,1.6,0.4,0.3,0.9,3.0,14.3
25,Luke Babbitt\babbilu01,SF,28,MIA,13,5,145,2.7,11.7,.234,2.7,11.2,.244,0.0,0.5,.000,0.0,0.0,,0.5,3.2,3.7,1.2,0.2,0.5,1.0,1.7,8.2
26,Dwayne Bacon\bacondw01,SG,22,CHO,53,6,713,3.6,9.7,.375,0.6,2.2,.256,3.1,7.5,.409,1.0,1.3,.800,0.2,6.1,6.3,1.9,0.8,0.1,1.2,2.3,8.8
27,Ron Baker\bakerro01,SG,24,NYK,29,1,385,1.9,5.5,.339,1.0,3.1,.333,0.8,2.4,.346,1.9,2.4,.769,0.5,2.3,2.8,4.4,2.4,0.6,1.7,3.1,6.6
28,Wade Baldwin\baldwwa01,PG,21,POR,7,0,80,6.3,9.5,.667,1.8,2.3,.800,4.5,7.2,.625,2.7,4.5,.600,0.5,3.2,3.6,2.3,0.9,0.5,1.8,5.4,17.1
29,Lonzo Ball\balllo01,PG,20,LAL,52,50,1780,4.1,11.4,.360,1.8,6.0,.305,2.3,5.4,.420,0.6,1.4,.451,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7
30,J.J. Barea\bareajo01,PG,33,DAL,69,10,1603,6.8,15.5,.439,2.6,7.0,.367,4.2,8.5,.499,1.8,2.3,.784,0.3,4.2,4.5,9.7,0.8,0.1,3.2,1.9,18.0
31,Harrison Barnes\barneha02,PF,25,DAL,77,77,2634,7.3,16.5,.445,1.6,4.6,.357,5.7,12.0,.478,3.5,4.3,.827,1.1,5.3,6.4,2.1,0.7,0.2,1.6,1.3,19.8
32,Will Barton\bartowi01,SG,27,DEN,81,40,2683,6.2,13.8,.452,2.1,5.7,.370,4.1,8.1,.510,2.4,3.0,.805,0.9,4.5,5.5,4.4,1.1,0.7,2.0,2.3,17.0
33,Nicolas Batum\batumni01,SG,29,CHO,64,64,1981,4.9,11.8,.415,1.7,5.0,.336,3.2,6.8,.473,2.0,2.4,.831,1.0,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4
34,Jerryd Bayless\bayleje01,SG,29,PHI,39,11,925,4.2,10.2,.416,2.1,5.7,.370,2.1,4.5,.474,1.4,1.7,.795,0.6,2.5,3.1,2.1,0.9,0.2,1.8,3.5,11.9
35,Aron Baynes\baynear01,C,31,BOS,81,67,1485,5.1,10.8,.471,0.1,0.5,.143,5.0,10.3,.487,1.4,1.9,.756,3.2,7.4,10.5,2.3,0.5,1.2,1.9,4.8,11.7
36,Kent Bazemore\bazemke01,SG,28,ATL,65,65,1789,5.7,13.6,.420,2.2,5.5,.394,3.5,8.1,.438,3.2,4.0,.796,0.5,4.5,5.0,4.6,2.0,0.9,3.2,3.0,16.8
37,Bradley Beal\bealbr01,SG,24,WAS,82,82,2977,8.3,17.9,.460,2.4,6.4,.375,5.9,11.5,.507,3.5,4.5,.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5
38,Malik Beasley\beaslma01,SG,21,DEN,62,0,583,4.5,11.0,.410,1.7,5.1,.341,2.8,5.9,.469,1.4,2.0,.667,0.9,3.5,4.4,1.9,0.9,0.4,1.5,2.2,12.1
39,Michael Beasley\beaslmi01,PF,29,NYK,74,30,1653,8.9,17.6,.507,0.7,1.9,.395,8.2,15.7,.520,2.7,3.5,.780,2.1,6.9,9.0,2.7,0.8,0.9,3.1,3.2,21.3
40,Marco Belinelli\belinma01,SG,31,TOT,80,2,1947,6.2,14.1,.441,2.8,7.3,.377,3.5,6.8,.509,2.7,3.0,.908,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18.0
40,Marco Belinelli\belinma01,SG,31,ATL,52,1,1210,5.9,14.4,.410,2.7,7.3,.372,3.2,7.1,.450,3.0,3.2,.927,0.4,2.6,3.0,3.1,1.4,0.1,1.6,1.2,17.6
40,Marco Belinelli\belinma01,SG,31,PHI,28,1,737,6.7,13.6,.495,2.8,7.2,.385,4.0,6.4,.618,2.3,2.6,.870,0.3,2.2,2.5,2.2,1.0,0.4,2.0,2.4,18.6
41,Jordan Bell\belljo01,C,23,GSW,57,13,809,5.2,8.2,.627,0.0,0.2,.000,5.2,8.1,.641,1.3,2.0,.682,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7
42,DeAndre' Bembry\bembrde01,SF,23,ATL,26,3,455,4.2,10.1,.414,0.9,2.4,.367,3.3,7.8,.429,1.5,2.6,.576,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3.0,10.8
43,Dragan Bender\bendedr01,PF,20,PHO,82,37,2069,3.3,8.4,.386,2.1,5.6,.366,1.2,2.8,.426,0.7,0.9,.765,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2
44,Davis Bertans\bertada01,PF,25,SAS,77,10,1086,5.3,12.1,.440,3.1,8.4,.373,2.2,3.8,.588,1.3,1.6,.816,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1
45,Patrick Beverley\beverpa01,SG,29,LAC,11,11,334,5.2,12.8,.403,2.6,6.5,.400,2.6,6.4,.407,1.5,1.8,.824,1.7,3.1,4.9,3.4,2.0,0.5,2.7,3.7,14.4
46,Khem Birch\birchkh01,C,25,ORL,42,0,578,4.2,7.8,.540,0.0,0.0,,4.2,7.8,.540,2.6,3.8,.689,4.4,6.9,11.2,2.1,0.9,1.3,1.3,3.5,11.1
47,Jabari Bird\birdja01,SG,23,BOS,13,1,115,4.7,8.1,.577,0.9,2.2,.429,3.8,5.9,.632,1.9,4.1,.462,1.9,4.1,5.9,2.5,0.9,0.3,2.5,2.2,12.2
48,Bismack Biyombo\biyombi01,C,25,ORL,82,25,1495,4.4,8.5,.520,0.0,0.0,.000,4.4,8.5,.521,2.5,3.8,.650,3.5,7.8,11.3,1.6,0.5,2.3,2.0,3.8,11.3
49,Nemanja Bjelica\bjeline01,PF,29,MIN,67,21,1371,4.5,9.7,.461,2.0,4.8,.415,2.5,4.9,.505,0.9,1.2,.800,1.4,5.8,7.2,2.3,1.3,0.4,1.4,3.7,11.9
50,Tarik Black\blackta01,C,26,HOU,51,2,536,5.0,8.5,.591,0.1,0.7,.091,5.0,7.8,.638,1.9,4.2,.460,4.2,6.7,10.9,0.9,1.4,2.0,2.4,7.2,12.1
51,Antonio Blakeney\blakean01,SG,21,CHI,19,0,314,6.1,16.4,.371,1.7,6.0,.288,4.4,10.4,.418,3.4,4.5,.769,0.5,3.3,3.8,2.3,0.8,0.1,1.3,2.2,17.3
52,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,7.3,15.3,.473,1.9,5.6,.347,5.3,9.8,.545,3.9,4.9,.795,0.8,3.6,4.4,5.7,2.3,0.7,3.3,2.9,20.4
52,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,6.9,17.3,.400,1.7,5.6,.308,5.2,11.7,.444,4.8,6.1,.786,1.3,1.7,3.0,3.9,1.7,0.9,4.3,2.6,20.4
52,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,7.3,15.3,.476,1.9,5.6,.349,5.3,9.7,.550,3.9,4.9,.795,0.8,3.7,4.5,5.8,2.3,0.6,3.3,2.9,20.4
53,Vander Blue\blueva01,SG,25,LAL,5,0,45,0.8,4.0,.200,0.0,1.6,.000,0.8,2.4,.333,0.8,1.6,.500,0.0,0.8,0.8,2.4,0.8,0.0,2.4,1.6,2.4
54,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,78,53,2175,5.7,12.8,.446,2.1,5.4,.392,3.6,7.3,.485,1.7,2.0,.840,0.5,3.2,3.7,4.3,1.2,0.3,2.1,2.8,15.2
55,Bojan Bogdanovic\bogdabo02,SF,28,IND,80,80,2464,5.9,12.4,.474,2.3,5.6,.402,3.6,6.8,.534,2.6,3.0,.868,0.4,3.5,3.9,1.7,0.8,0.1,1.5,1.9,16.7
56,Andrew Bogut\bogutan01,C,33,LAL,23,5,216,2.8,4.2,.680,0.0,0.0,,2.8,4.2,.680,0.3,0.3,1.000,4.3,8.7,13.0,2.5,0.7,2.2,3.2,6.7,6.0
57,Joel Bolomboy\bolomjo01,PF,24,MIL,6,0,38,2.8,5.7,.500,0.0,0.9,.000,2.8,4.7,.600,2.8,5.7,.500,5.7,3.8,9.5,0.0,1.9,0.0,1.9,2.8,8.5
58,Devin Booker\bookede01,SG,21,PHO,54,54,1865,8.8,20.3,.432,2.8,7.4,.383,5.9,12.9,.460,5.6,6.4,.878,0.5,4.2,4.7,4.9,0.9,0.3,3.7,3.2,26.0
59,Trevor Booker\booketr01,PF,30,TOT,68,7,1158,5.5,10.7,.516,0.2,1.0,.242,5.3,9.6,.545,2.1,2.9,.710,3.6,6.2,9.9,2.5,0.9,0.7,1.8,3.7,13.3
59,Trevor Booker\booketr01,PF,30,BRK,18,6,395,7.0,13.7,.513,0.3,1.1,.250,6.7,12.6,.536,2.2,3.9,.558,3.5,7.4,10.8,3.5,0.7,0.5,2.7,3.9,16.5
59,Trevor Booker\booketr01,PF,30,PHI,33,0,494,4.4,7.9,.560,0.1,0.5,.286,4.3,7.4,.578,2.3,2.8,.821,3.4,5.5,8.9,2.0,1.2,0.8,1.5,3.6,11.4
59,Trevor Booker\booketr01,PF,30,IND,17,1,269,5.2,11.2,.464,0.4,1.9,.214,4.8,9.4,.514,1.3,1.5,.909,4.3,6.0,10.3,2.3,0.5,0.7,1.2,3.5,12.2
60,Chris Boucher\bouchch01,PF,25,GSW,1,0,1,0.0,36.0,.000,0.0,36.0,.000,0.0,0.0,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Avery Bradley\bradlav01,SG,27,TOT,46,46,1433,6.5,15.7,.414,1.9,5.1,.369,4.6,10.6,.436,1.6,2.1,.768,0.6,2.4,2.9,2.4,1.3,0.2,2.5,2.3,16.5
61,Avery Bradley\bradlav01,SG,27,DET,40,40,1268,6.6,16.2,.409,2.1,5.5,.381,4.5,10.7,.423,1.7,2.3,.763,0.5,2.1,2.7,2.4,1.3,0.2,2.6,2.3,17.1
61,Avery Bradley\bradlav01,SG,27,LAC,6,6,165,5.7,12.0,.473,0.2,2.0,.111,5.5,10.0,.543,0.4,0.4,1.000,0.7,4.1,4.8,2.4,1.1,0.2,1.7,2.6,12.0
62,Tony Bradley\bradlto01,C,20,UTA,9,0,29,3.7,13.7,.273,0.0,1.2,.000,3.7,12.4,.300,2.5,2.5,1.000,5.0,8.7,13.7,1.2,0.0,0.0,0.0,1.2,9.9
63,Corey Brewer\breweco01,SF-SG,31,TOT,72,18,1208,4.2,9.4,.449,0.9,3.3,.282,3.3,6.1,.539,1.9,2.7,.722,1.3,3.3,4.6,1.9,2.4,0.4,1.5,4.1,11.3
63,Corey Brewer\breweco01,SF,31,LAL,54,2,694,4.0,8.9,.453,0.4,2.2,.186,3.6,6.7,.543,1.8,2.6,.667,1.2,3.6,4.8,2.1,2.1,0.4,2.0,4.3,10.3
63,Corey Brewer\breweco01,SG,31,OKC,18,16,514,4.5,10.1,.444,1.6,4.7,.343,2.9,5.4,.532,2.2,2.7,.795,1.4,2.9,4.3,1.7,2.7,0.4,0.8,3.9,12.7
64,Malcolm Brogdon\brogdma01,PG,25,MIL,48,20,1436,6.1,12.6,.485,1.6,4.0,.385,4.6,8.6,.532,1.9,2.1,.882,0.6,3.3,3.9,3.8,1.0,0.3,1.7,3.2,15.7
65,Aaron Brooks\brookaa01,PG,33,MIN,32,1,189,5.3,13.1,.406,2.1,5.9,.355,3.2,7.2,.447,1.5,2.1,.727,1.3,1.9,3.2,3.8,1.1,0.0,2.1,5.3,14.3
66,Dillon Brooks\brookdi01,SF,22,MEM,82,74,2350,5.2,11.8,.440,1.4,4.0,.356,3.8,7.8,.484,1.9,2.5,.747,0.8,3.2,3.9,2.1,1.1,0.3,1.9,3.6,13.8
67,MarShon Brooks\brookma01,SG,29,MEM,7,1,193,9.5,19.0,.500,3.5,6.0,.594,6.0,13.1,.457,3.7,4.3,.870,1.5,2.4,3.9,4.7,2.1,0.6,3.0,1.1,26.3
68,Anthony Brown\brownan02,SF,25,MIN,1,0,4,9.0,9.0,1.000,9.0,9.0,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,27.0
69,Bobby Brown\brownbo02,PG,33,HOU,20,0,115,5.9,18.2,.328,3.4,12.5,.275,2.5,5.6,.444,0.3,0.6,.500,0.0,2.2,2.2,3.4,1.3,0.0,2.8,1.9,15.7
70,Jaylen Brown\brownja02,SG,21,BOS,70,70,2152,6.2,13.4,.465,2.0,5.1,.395,4.2,8.3,.507,2.5,3.9,.644,1.1,4.7,5.8,1.9,1.2,0.4,2.1,3.0,17.0
71,Lorenzo Brown\brownlo01,PG,27,TOR,14,0,139,3.6,8.8,.412,0.5,3.1,.167,3.1,5.7,.545,0.5,0.5,1.000,0.3,3.6,3.9,3.4,1.3,0.0,0.8,1.8,8.3
72,Markel Brown\brownma02,SG,26,HOU,4,0,31,2.3,8.1,.286,1.2,5.8,.200,1.2,2.3,.500,0.0,0.0,,1.2,4.6,5.8,2.3,0.0,0.0,2.3,7.0,5.8
73,Sterling Brown\brownst02,SG,22,MIL,54,4,776,3.8,9.5,.400,1.5,4.2,.352,2.3,5.3,.439,1.0,1.1,.875,1.3,5.4,6.6,1.2,1.4,0.6,1.2,3.7,10.1
74,Nicolas Brussino\brussni01,SF,24,ATL,4,0,10,0.0,7.2,.000,0.0,7.2,.000,0.0,0.0,,0.0,0.0,,0.0,10.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0
75,Thomas Bryant\bryanth01,C,20,LAL,15,0,72,4.0,10.5,.381,0.5,5.0,.100,3.5,5.5,.636,2.5,4.5,.556,1.5,7.0,8.5,3.0,0.5,1.0,1.0,3.0,11.0
76,Reggie Bullock\bullore01,SF,26,DET,62,52,1732,5.5,11.3,.489,2.6,5.8,.445,3.0,5.5,.536,0.8,1.0,.796,0.6,2.6,3.2,2.0,1.0,0.3,1.0,1.5,14.5
77,Trey Burke\burketr01,PG,25,NYK,36,9,785,8.9,17.6,.503,1.7,4.8,.362,7.1,12.8,.556,1.7,2.6,.649,0.6,2.7,3.3,7.8,1.1,0.2,2.0,2.0,21.1
78,Alec Burks\burksal01,SG,26,UTA,64,1,1059,5.8,14.1,.411,1.6,4.8,.331,4.2,9.2,.452,3.6,4.2,.863,0.6,5.9,6.5,2.3,1.3,0.3,2.0,2.5,16.8
79,Jimmy Butler\butleji01,SG,28,MIN,59,59,2164,7.3,15.3,.474,1.2,3.3,.350,6.1,12.0,.509,6.0,7.1,.854,1.3,3.9,5.2,4.8,1.9,0.4,1.8,1.3,21.7
80,Dwight Buycks\buyckdw01,PG,28,DET,29,0,427,6.9,16.7,.414,1.3,3.8,.333,5.6,12.9,.438,3.0,3.5,.878,1.0,2.4,3.5,5.0,1.6,0.2,3.3,3.3,18.1
81,Bruno Caboclo\cabocbr01,SF,22,TOT,12,0,107,3.0,10.4,.290,1.0,5.7,.176,2.0,4.7,.429,1.7,2.0,.833,2.4,5.0,7.4,1.3,1.0,1.3,1.3,2.7,8.7
81,Bruno Caboclo\cabocbr01,SF,22,TOR,2,0,7,0.0,10.3,.000,0.0,10.3,.000,0.0,0.0,,0.0,0.0,,0.0,5.1,5.1,5.1,5.1,0.0,0.0,5.1,0.0
81,Bruno Caboclo\cabocbr01,SF,22,SAC,10,0,100,3.2,10.4,.310,1.1,5.4,.200,2.2,5.0,.429,1.8,2.2,.833,2.5,5.0,7.6,1.1,0.7,1.4,1.4,2.5,9.4
82,Jose Calderon\caldejo01,PG,36,CLE,57,32,914,3.7,7.3,.503,1.8,3.8,.464,1.9,3.5,.545,0.9,1.2,.800,0.6,2.8,3.3,4.6,1.1,0.1,1.6,3.2,10.0
83,Kentavious Caldwell-Pope\caldwke01,SG,24,LAL,74,74,2458,5.0,11.7,.426,2.3,6.1,.383,2.7,5.6,.473,2.2,2.8,.789,0.9,4.8,5.7,2.4,1.6,0.2,1.4,2.1,14.5
84,Isaiah Canaan\canaais01,PG-SG,26,TOT,20,1,422,4.4,11.7,.380,1.9,5.6,.333,2.6,6.1,.423,3.9,4.4,.902,0.5,3.3,3.8,6.5,1.4,0.1,2.5,3.1,14.7
84,Isaiah Canaan\canaais01,SG,26,HOU,1,0,4,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Isaiah Canaan\canaais01,PG,26,PHO,19,1,418,4.5,11.7,.382,1.9,5.7,.333,2.6,6.0,.429,4.0,4.4,.902,0.5,3.3,3.8,6.5,1.4,0.1,2.5,3.1,14.8
85,Clint Capela\capelca01,C,23,HOU,74,74,2034,7.8,12.0,.652,0.0,0.0,.000,7.8,11.9,.653,2.5,4.5,.560,4.3,9.9,14.2,1.2,1.0,2.4,1.8,3.3,18.2
86,DeMarre Carroll\carrode01,SF,31,BRK,73,73,2180,5.4,13.0,.414,2.4,6.5,.371,3.0,6.5,.457,3.1,4.1,.764,1.7,6.2,7.9,2.4,1.0,0.5,1.7,2.7,16.2
87,Vince Carter\cartevi01,SF,41,SAC,58,5,1026,4.0,9.9,.403,2.0,5.8,.345,2.0,4.1,.483,1.0,1.3,.757,0.6,4.6,5.2,2.4,1.5,0.9,1.3,3.4,11.0
88,Michael Carter-Williams\cartemi01,PG,26,CHO,52,2,835,3.3,9.9,.332,0.6,2.5,.237,2.7,7.3,.365,3.1,3.8,.820,1.6,4.4,5.9,5.0,1.9,1.0,2.2,4.3,10.3
89,Alex Caruso\carusal01,PG,23,LAL,37,7,562,3.2,7.4,.431,0.8,2.8,.302,2.4,4.7,.507,1.3,1.9,.700,1.0,3.2,4.2,4.8,1.5,0.6,2.7,3.3,8.6
90,Omri Casspi\casspom01,SF,29,GSW,53,7,740,5.8,10.1,.580,0.5,1.1,.455,5.4,9.0,.595,2.4,3.4,.725,1.5,8.3,9.7,2.5,0.9,0.9,1.8,3.5,14.6
91,Willie Cauley-Stein\caulewi01,C,24,SAC,73,58,2044,6.8,13.6,.502,0.1,0.2,.250,6.8,13.4,.506,2.7,4.4,.619,2.3,6.7,9.0,3.0,1.4,1.2,1.9,3.3,16.4
92,Tyler Cavanaugh\cavanty01,PF,23,ATL,39,1,518,4.7,10.6,.441,2.2,6.2,.360,2.4,4.4,.556,1.2,1.5,.810,3.1,5.7,8.8,1.9,0.6,0.3,1.0,4.2,12.7
93,Mario Chalmers\chalmma01,PG,31,MEM,66,10,1421,4.3,11.2,.379,1.3,4.8,.277,2.9,6.4,.456,3.0,3.5,.855,0.3,3.6,4.0,5.0,2.0,0.4,3.0,4.5,12.8
94,Tyson Chandler\chandty01,C,35,PHO,46,46,1151,3.8,5.8,.647,0.0,0.0,,3.8,5.8,.647,1.8,2.9,.624,4.2,8.9,13.1,1.7,0.5,0.8,1.8,3.3,9.4
95,Wilson Chandler\chandwi01,SF,30,DEN,74,71,2346,4.3,9.7,.445,1.4,3.8,.358,3.0,5.9,.501,1.4,1.7,.772,1.6,4.5,6.1,2.4,0.7,0.6,1.4,2.4,11.3
96,Marquese Chriss\chrisma01,PF,20,PHO,72,49,1527,4.8,11.2,.423,1.3,4.5,.295,3.4,6.8,.509,2.3,3.7,.608,1.8,7.5,9.3,2.0,1.2,1.7,2.5,4.8,13.1
97,Ian Clark\clarkia01,SG,26,NOP,74,2,1455,5.5,12.2,.448,1.5,4.8,.318,4.0,7.4,.533,1.1,1.5,.763,0.2,2.9,3.1,2.7,0.8,0.2,1.4,3.0,13.6
98,Jordan Clarkson\clarkjo01,SG,25,TOT,81,2,1888,8.2,18.2,.451,2.1,6.1,.352,6.1,12.1,.500,2.9,3.6,.800,1.1,3.1,4.1,4.2,1.1,0.1,2.4,2.0,21.4
98,Jordan Clarkson\clarkjo01,SG,25,LAL,53,2,1256,8.6,19.1,.448,1.9,6.0,.324,6.6,13.1,.505,3.0,3.8,.795,1.3,3.3,4.6,5.0,1.1,0.1,2.7,1.8,22.1
98,Jordan Clarkson\clarkjo01,SG,25,CLE,28,0,632,7.5,16.3,.456,2.5,6.2,.407,5.0,10.2,.486,2.7,3.3,.810,0.7,2.6,3.3,2.7,1.1,0.2,1.8,2.5,20.1
99,Gian Clavell\clavegi01,SG,24,DAL,7,0,64,3.4,10.1,.333,3.4,8.4,.400,0.0,1.7,.000,1.1,1.1,1.000,0.6,3.4,3.9,1.7,1.1,0.0,1.1,4.5,11.3
100,Antonius Cleveland\clevean01,SG,23,TOT,17,0,123,2.3,6.1,.381,0.9,1.2,.750,1.5,5.0,.294,1.2,1.8,.667,0.9,3.2,4.1,0.6,2.0,1.5,2.0,6.7,6.7
100,Antonius Cleveland\clevean01,SG,23,DAL,13,0,81,1.8,6.2,.286,0.0,0.4,.000,1.8,5.8,.308,0.9,1.8,.500,0.9,3.6,4.4,0.9,2.7,1.8,0.9,4.9,4.4
100,Antonius Cleveland\clevean01,SG,23,ATL,4,0,42,3.4,6.0,.571,2.6,2.6,1.000,0.9,3.4,.250,1.7,1.7,1.000,0.9,2.6,3.4,0.0,0.9,0.9,4.3,10.3,11.1
